Tool	Iteration	Sample	Parameters
Trimmomatic	0	sample_7_1.fastq.gz	(2, 23, 10, 18, 18, 9, 18, 70)
Cutadapt	0	sample_7_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 28, 99)
BBDuk	0	sample_7_1.fastq.gz	('r', 31, 9, 2, 23, 'rl', 87)
Fastp	0	sample_7_1.fastq.gz	(14, 10, 8, 29, 44)
Sickle	0	sample_7_1.fastq.gz	(29, 95)
Trimmomatic	1	sample_7_1.fastq.gz	(2, 20, 8, 4, 15, 8, 17, 91)
Cutadapt	1	sample_7_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 28, 82)
BBDuk	1	sample_7_1.fastq.gz	('r', 30, 10, 2, 21, 'rl', 89)
Fastp	1	sample_7_1.fastq.gz	(5, 3, 8, 30, 93)
Sickle	1	sample_7_1.fastq.gz	(16, 40)
Trimmomatic	2	sample_7_1.fastq.gz	(0, 31, 9, 13, 20, 8, 23, 52)
Cutadapt	2	sample_7_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 23, 87)
BBDuk	2	sample_7_1.fastq.gz	('r', 38, 15, 2, 27, 'rl', 74)
Fastp	2	sample_7_1.fastq.gz	(8, 5, 6, 16, 94)
Sickle	2	sample_7_1.fastq.gz	(29, 44)
Trimmomatic	0	sample_1_1.fastq.gz	(0, 23, 11, 12, 4, 9, 16, 86)
Cutadapt	0	sample_1_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 29, 51)
BBDuk	0	sample_1_1.fastq.gz	('r', 38, 13, 2, 16, 'rl', 60)
Fastp	0	sample_1_1.fastq.gz	(17, 3, 10, 16, 61)
Sickle	0	sample_1_1.fastq.gz	(17, 90)
Trimmomatic	1	sample_1_1.fastq.gz	(1, 34, 13, 15, 10, 5, 25, 85)
Cutadapt	1	sample_1_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 21, 61)
BBDuk	1	sample_1_1.fastq.gz	('r', 25, 11, 0, 27, 'rl', 51)
Fastp	1	sample_1_1.fastq.gz	(13, 7, 8, 17, 82)
Sickle	1	sample_1_1.fastq.gz	(20, 39)
Trimmomatic	2	sample_1_1.fastq.gz	(0, 28, 8, 6, 17, 7, 16, 52)
Cutadapt	2	sample_1_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 26, 74)
BBDuk	2	sample_1_1.fastq.gz	('r', 21, 13, 0, 23, 'rl', 62)
Fastp	2	sample_1_1.fastq.gz	(5, 12, 7, 30, 72)
Sickle	2	sample_1_1.fastq.gz	(27, 46)
Trimmomatic	0	sample_5_1.fastq.gz	(2, 24, 7, 8, 7, 7, 18, 65)
Cutadapt	0	sample_5_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 20, 45)
BBDuk	0	sample_5_1.fastq.gz	('r', 34, 11, 0, 15, 'rl', 71)
Fastp	0	sample_5_1.fastq.gz	(12, 16, 8, 15, 77)
Sickle	0	sample_5_1.fastq.gz	(20, 45)
Trimmomatic	1	sample_5_1.fastq.gz	(0, 34, 12, 12, 14, 4, 28, 51)
Cutadapt	1	sample_5_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 30, 100)
BBDuk	1	sample_5_1.fastq.gz	('r', 38, 13, 0, 22, 'rl', 72)
Fastp	1	sample_5_1.fastq.gz	(5, 18, 5, 23, 79)
Sickle	1	sample_5_1.fastq.gz	(24, 94)
Trimmomatic	2	sample_5_1.fastq.gz	(0, 22, 8, 19, 13, 7, 16, 52)
Cutadapt	2	sample_5_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 23, 81)
BBDuk	2	sample_5_1.fastq.gz	('r', 33, 11, 1, 17, 'rl', 99)
Fastp	2	sample_5_1.fastq.gz	(3, 19, 9, 30, 85)
Sickle	2	sample_5_1.fastq.gz	(20, 63)
Trimmomatic	0	sample_1.fastq.gz	(0, 35, 15, 20, 5, 7, 29, 36)
Cutadapt	0	sample_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 20, 87)
BBDuk	0	sample_1.fastq.gz	('r', 37, 11, 1, 24, 'rl', 54)
Fastp	0	sample_1.fastq.gz	(9, 4, 8, 27, 99)
Sickle	0	sample_1.fastq.gz	(19, 75)
Trimmomatic	1	sample_1.fastq.gz	(2, 27, 14, 15, 16, 10, 17, 71)
Cutadapt	1	sample_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 30, 95)
BBDuk	1	sample_1.fastq.gz	('r', 34, 11, 2, 21, 'rl', 72)
Fastp	1	sample_1.fastq.gz	(9, 6, 7, 15, 89)
Sickle	1	sample_1.fastq.gz	(19, 69)
Trimmomatic	2	sample_1.fastq.gz	(0, 35, 12, 14, 8, 5, 27, 36)
Cutadapt	2	sample_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 21, 60)
BBDuk	2	sample_1.fastq.gz	('r', 27, 15, 2, 30, 'rl', 93)
Fastp	2	sample_1.fastq.gz	(20, 11, 9, 30, 47)
Sickle	2	sample_1.fastq.gz	(28, 98)
Trimmomatic	0	sample_4_1.fastq.gz	(0, 23, 13, 8, 12, 7, 30, 47)
Cutadapt	0	sample_4_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 20, 76)
BBDuk	0	sample_4_1.fastq.gz	('r', 23, 10, 2, 26, 'rl', 85)
Fastp	0	sample_4_1.fastq.gz	(7, 5, 5, 30, 56)
Sickle	0	sample_4_1.fastq.gz	(29, 76)
Trimmomatic	1	sample_4_1.fastq.gz	(2, 36, 11, 14, 8, 7, 22, 87)
Cutadapt	1	sample_4_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 20, 79)
BBDuk	1	sample_4_1.fastq.gz	('r', 33, 7, 0, 15, 'rl', 60)
Fastp	1	sample_4_1.fastq.gz	(11, 12, 5, 29, 82)
Sickle	1	sample_4_1.fastq.gz	(20, 100)
Trimmomatic	2	sample_4_1.fastq.gz	(2, 40, 13, 9, 7, 5, 25, 60)
Cutadapt	2	sample_4_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 28, 38)
BBDuk	2	sample_4_1.fastq.gz	('r', 31, 8, 0, 30, 'rl', 36)
Fastp	2	sample_4_1.fastq.gz	(10, 12, 4, 19, 79)
Sickle	2	sample_4_1.fastq.gz	(30, 90)
Trimmomatic	0	sample_2_1.fastq.gz	(2, 31, 14, 8, 10, 10, 28, 91)
Cutadapt	0	sample_2_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 27, 91)
BBDuk	0	sample_2_1.fastq.gz	('r', 28, 12, 0, 20, 'rl', 99)
Fastp	0	sample_2_1.fastq.gz	(7, 6, 8, 30, 68)
Sickle	0	sample_2_1.fastq.gz	(28, 39)
Trimmomatic	1	sample_2_1.fastq.gz	(1, 31, 15, 7, 16, 5, 25, 42)
Cutadapt	1	sample_2_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 22, 79)
BBDuk	1	sample_2_1.fastq.gz	('r', 22, 14, 0, 20, 'rl', 58)
Fastp	1	sample_2_1.fastq.gz	(16, 13, 8, 18, 87)
Sickle	1	sample_2_1.fastq.gz	(27, 57)
Trimmomatic	2	sample_2_1.fastq.gz	(2, 24, 8, 19, 13, 4, 30, 96)
Cutadapt	2	sample_2_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 27, 53)
BBDuk	2	sample_2_1.fastq.gz	('r', 29, 14, 1, 21, 'rl', 42)
Fastp	2	sample_2_1.fastq.gz	(5, 9, 7, 17, 68)
Sickle	2	sample_2_1.fastq.gz	(20, 49)
Trimmomatic	0	sample_10_1.fastq.gz	(2, 26, 10, 15, 4, 9, 30, 98)
Cutadapt	0	sample_10_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 22, 97)
BBDuk	0	sample_10_1.fastq.gz	('r', 38, 10, 1, 15, 'rl', 100)
Fastp	0	sample_10_1.fastq.gz	(14, 13, 6, 27, 98)
Sickle	0	sample_10_1.fastq.gz	(17, 79)
Trimmomatic	1	sample_10_1.fastq.gz	(1, 37, 15, 12, 6, 5, 29, 53)
Cutadapt	1	sample_10_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 18, 68)
BBDuk	1	sample_10_1.fastq.gz	('r', 22, 9, 1, 24, 'rl', 36)
Fastp	1	sample_10_1.fastq.gz	(4, 16, 7, 26, 82)
Sickle	1	sample_10_1.fastq.gz	(28, 54)
Trimmomatic	2	sample_10_1.fastq.gz	(0, 31, 11, 6, 20, 7, 23, 99)
Cutadapt	2	sample_10_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 19, 82)
BBDuk	2	sample_10_1.fastq.gz	('r', 26, 12, 1, 15, 'rl', 42)
Fastp	2	sample_10_1.fastq.gz	(15, 13, 7, 26, 68)
Sickle	2	sample_10_1.fastq.gz	(29, 95)
Trimmomatic	0	sample_6_1.fastq.gz	(1, 25, 8, 7, 10, 7, 17, 94)
Cutadapt	0	sample_6_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 17, 83)
BBDuk	0	sample_6_1.fastq.gz	('r', 24, 8, 2, 25, 'rl', 60)
Fastp	0	sample_6_1.fastq.gz	(10, 10, 4, 15, 78)
Sickle	0	sample_6_1.fastq.gz	(16, 64)
Trimmomatic	1	sample_6_1.fastq.gz	(2, 38, 12, 12, 17, 4, 23, 38)
Cutadapt	1	sample_6_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 21, 88)
BBDuk	1	sample_6_1.fastq.gz	('r', 32, 11, 0, 18, 'rl', 80)
Fastp	1	sample_6_1.fastq.gz	(4, 5, 4, 15, 45)
Sickle	1	sample_6_1.fastq.gz	(19, 75)
Trimmomatic	2	sample_6_1.fastq.gz	(2, 21, 9, 7, 8, 7, 24, 42)
Cutadapt	2	sample_6_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 28, 46)
BBDuk	2	sample_6_1.fastq.gz	('r', 29, 13, 1, 24, 'rl', 85)
Fastp	2	sample_6_1.fastq.gz	(3, 12, 6, 17, 76)
Sickle	2	sample_6_1.fastq.gz	(19, 53)
Trimmomatic	0	sample_3_1.fastq.gz	(0, 30, 15, 13, 10, 9, 26, 89)
Cutadapt	0	sample_3_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 17, 53)
BBDuk	0	sample_3_1.fastq.gz	('r', 20, 14, 0, 29, 'rl', 68)
